sensor,x_gt,y_gt,vx_gt,vy_gt,yaw_gt,yawdot_gt,px,py,vx,vy,yaw,yawdot,NIS
R,-14.7841,19.9928,4.0849,3.2053,-2.4763,-0.5448,-14.7414,20.0126,4.1811,3.1470,-2.4964,-0.5787,6.4229
L,-14.5777,20.1503,4.1696,3.0921,-2.5035,-0.5438,-14.5883,20.1433,4.1721,3.0077,-2.5170,-0.5720,2.1566
R,-14.3671,20.3020,4.2508,2.9767,-2.5307,-0.5427,-14.3904,20.2879,4.2176,2.9107,-2.5375,-0.5578,2.6830
L,-14.1526,20.4480,4.3286,2.8593,-2.5578,-0.5415,-14.1493,20.4490,4.3465,2.8116,-2.5674,-0.5591,0.5780
R,-13.9342,20.5880,4.4029,2.7401,-2.5849,-0.5403,-13.9227,20.5768,4.4377,2.6643,-2.6009,-0.5664,0.3770
L,-13.7123,20.7220,4.4737,2.6193,-2.6119,-0.5389,-13.7278,20.7133,4.4688,2.5561,-2.6220,-0.5602,0.9157
R,-13.4868,20.8499,4.5409,2.4968,-2.6389,-0.5375,-13.4994,20.8315,4.5488,2.4090,-2.6546,-0.5672,0.1560
L,-13.2582,20.9717,4.6044,2.3729,-2.6657,-0.5360,-13.2564,20.9557,4.6388,2.2856,-2.6838,-0.5678,0.1253
R,-13.0264,21.0872,4.6643,2.2477,-2.6925,-0.5344,-13.0119,21.0696,4.7135,2.1635,-2.7113,-0.5641,2.3094
L,-12.7917,21.1965,4.7205,2.1213,-2.7192,-0.5327,-12.7529,21.2076,4.8160,2.0744,-2.7349,-0.5594,1.1323
R,-12.5543,21.2994,4.7731,1.9939,-2.7459,-0.5310,-12.5250,21.3240,4.8338,2.0002,-2.7493,-0.5383,1.1716
L,-12.3143,21.3959,4.8219,1.8656,-2.7724,-0.5291,-12.2508,21.4462,4.9407,1.9006,-2.7744,-0.5361,0.8712
R,-12.0720,21.4860,4.8670,1.7364,-2.7989,-0.5272,-11.9873,21.5281,5.0149,1.7404,-2.8075,-0.5436,1.7719
L,-11.8276,21.5696,4.9084,1.6067,-2.8252,-0.5252,-11.7856,21.6270,4.9885,1.6413,-2.8237,-0.5343,2.9216
R,-11.5811,21.6467,4.9461,1.4764,-2.8515,-0.5231,-11.5344,21.7102,5.0282,1.5226,-2.8476,-0.5294,0.1926
L,-11.3329,21.7173,4.9802,1.3458,-2.8777,-0.5209,-11.2619,21.7508,5.0879,1.3333,-2.8853,-0.5395,2.2841
R,-11.0830,21.7813,5.0105,1.2149,-2.9037,-0.5186,-11.0215,21.8255,5.0920,1.2368,-2.9033,-0.5264,1.2372
L,-10.8317,21.8388,5.0372,1.0839,-2.9296,-0.5163,-10.7896,21.8399,5.0739,1.0396,-2.9395,-0.5359,2.1347
R,-10.5792,21.8898,5.0602,0.9529,-2.9555,-0.5139,-10.5258,21.8861,5.1236,0.8792,-2.9716,-0.5453,1.0940
L,-10.3256,21.9341,5.0797,0.8221,-2.9811,-0.5114,-10.2546,21.9237,5.1665,0.7308,-3.0011,-0.5470,0.2014
R,-10.0711,21.9720,5.0956,0.6914,-3.0067,-0.5088,-9.9890,21.9389,5.1904,0.5562,-3.0348,-0.5536,1.8817
L,-9.8159,22.0033,5.1080,0.5612,-3.0322,-0.5061,-9.7386,21.9630,5.1897,0.4146,-3.0619,-0.5532,0.0617
